id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews,reviews_per_month,availability_2019
13384048,Bos en Lommer,52.37693360634156,4.848099941814766,Entire home/apt,100,,2,3,0.11,0
13384250,De Baarsjes - Oud-West,52.36593549924878,4.877211034804907,Entire home/apt,90,,2,6,0.2,0
13384276,Centrum-West,52.38165892259805,4.883638572240657,Entire home/apt,140,,2,2,0.08,0
13384301,De Pijp - Rivierenbuurt,52.34168956084898,4.898776477690299,Entire home/apt,136,355,3,17,0.57,0
13384343,Westerpark,52.382863201080255,4.873069818646737,Entire home/apt,120,,2,3,0.1,2
13385232,Westerpark,52.38954017996864,4.887789658927714,Private room,80,,2,7,0.23,0
13385410,De Pijp - Rivierenbuurt,52.351518422125864,4.898679436143481,Entire home/apt,85,,5,5,0.16,0
13385539,De Baarsjes - Oud-West,52.36126448952914,4.855204219739941,Entire home/apt,120,,2,10,0.33,0
13385603,Oud-Oost,52.35628944400068,4.910769780469849,Entire home/apt,145,,2,19,0.69,10
13385730,IJburg - Zeeburgereiland,52.36182763678689,4.977614718269933,Entire home/apt,185,,2,0,,0
13387899,De Baarsjes - Oud-West,52.36529021737264,4.877729360764864,Entire home/apt,190,350,3,6,0.21,7
13389882,Westerpark,52.37897301668644,4.874995409,Entire home/apt,110,,3,17,0.61,0
13391316,Watergraafsmeer,52.35313375503878,4.928056772807127,Entire home/apt,125,,5,2,0.07,0
13392107,IJburg - Zeeburgereiland,52.34770769150625,5.0084794762112566,Entire home/apt,131,,5,2,0.08,0
13392492,De Aker - Nieuw Sloten,52.35089919327758,4.781689972092174,Private room,99,,2,22,0.74,327
13392809,Centrum-West,52.37038925,4.892682589052329,Private room,135,,5,1,0.03,0
13393410,De Baarsjes - Oud-West,52.36158602554097,4.855640660170547,Entire home/apt,132,,1,0,,0
13393840,Westerpark,52.37683016580929,4.875558370388494,Entire home/apt,220,362,3,11,0.38,9
13399460,Bos en Lommer,52.38477608,4.852664921782734,Entire home/apt,200,361,2,1,0.07,0
13401057,Centrum-West,52.37075892426626,4.878646584230945,Entire home/apt,299,,2,16,0.56,26
13401771,De Baarsjes - Oud-West,52.370371770421976,4.858886959433257,Entire home/apt,95,362,2,6,0.2,0
13402656,De Baarsjes - Oud-West,52.36102456827866,4.865612638148146,Entire home/apt,280,,2,0,,0
13403237,Watergraafsmeer,52.338905169382464,4.918649666027244,Entire home/apt,70,,2,20,0.69,0
13403483,Centrum-West,52.37975429,4.879981075493095,Entire home/apt,220,,2,7,0.24,0
13404028,De Pijp - Rivierenbuurt,52.34964961119133,4.909507969310275,Entire home/apt,160,,2,9,0.31,0
13404992,De Pijp - Rivierenbuurt,52.354712858944865,4.887556883,Entire home/apt,120,,3,0,,0
13405211,De Baarsjes - Oud-West,52.37057011265532,4.858505359209209,Entire home/apt,100,,2,6,0.2,0
13405434,Oud-Noord,52.39668610953675,4.914625850396929,Entire home/apt,160,,3,3,0.1,0
13405793,Centrum-West,52.37274728830085,4.889964332382736,Entire home/apt,170,345,2,52,1.75,4
13406951,Zuid,52.35347775576173,4.881977666557421,Entire home/apt,650,362,3,8,0.31,0
13408643,Bos en Lommer,52.37718814,4.847194662153937,Entire home/apt,95,,1,8,0.27,0
13409757,Bos en Lommer,52.378229392867354,4.855141084675567,Entire home/apt,120,,3,6,0.21,3
13410002,De Baarsjes - Oud-West,52.35946529588663,4.864911544,Private room,100,131,2,119,3.97,303
13411229,Zuid,52.34278057295364,4.858629159327356,Entire home/apt,150,,3,7,0.24,155
13411487,De Baarsjes - Oud-West,52.363878919761184,4.853180010305957,Entire home/apt,150,,2,1,0.03,0
13412249,Zuid,52.356012772998255,4.851442501503702,Entire home/apt,167,,3,2,0.07,0
13412478,Oud-Noord,52.382304492935546,4.913800143822964,Entire home/apt,100,,2,80,2.64,275
13412481,Centrum-West,52.383763376413796,4.885136921988123,Entire home/apt,150,,5,0,,0
13413379,Oud-Noord,52.38787583709604,4.923112926343303,Entire home/apt,89,349,4,9,0.3,0
13414785,Noord-Oost,52.40234851321929,4.945605172436635,Private room,55,321,1,30,1,0
13419312,Westerpark,52.383371243278674,4.872928287616389,Entire home/apt,120,336,3,37,1.34,21
13419687,De Baarsjes - Oud-West,52.36139860562018,4.8583122173112105,Entire home/apt,235,,7,2,0.42,313
13419985,De Aker - Nieuw Sloten,52.34598031619311,4.816973835975396,Entire home/apt,100,,2,14,0.47,3
13420068,Slotervaart,52.35177963032314,4.830425098938488,Entire home/apt,125,,3,9,0.3,0
13420179,De Pijp - Rivierenbuurt,52.35203612915227,4.888749440268394,Entire home/apt,160,,2,28,0.95,0
13420185,Oud-Noord,52.38433684442626,4.916335744601309,Entire home/apt,129,,3,8,0.28,0
13420865,Bos en Lommer,52.376284453815934,4.845538515393357,Entire home/apt,109,354,2,19,0.63,0
13421459,Centrum-West,52.37339775169629,4.881883175268082,Entire home/apt,103,,2,44,1.49,0
13422521,Westerpark,52.38814610082779,4.878683077983888,Entire home/apt,180,,1,16,0.54,0
13422545,Watergraafsmeer,52.34342838315336,4.9241392266858615,Entire home/apt,145,,2,6,0.21,0
13422706,Westerpark,52.389730367314684,4.8779845307294725,Entire home/apt,86,,2,9,0.31,0
13424779,Noord-Oost,52.39352414342618,4.9547021815550725,Entire home/apt,100,,9,0,,0
13424801,Watergraafsmeer,52.33819447120891,4.9212775286195605,Entire home/apt,100,,1,4,0.26,0
13425006,Westerpark,52.37680812174089,4.87021419,Entire home/apt,160,338,3,21,0.72,55
13425499,De Pijp - Rivierenbuurt,52.347751716413285,4.887996896098655,Entire home/apt,130,,2,0,,0
13428614,Bos en Lommer,52.378000059294216,4.860824338964238,Entire home/apt,165,362,3,23,0.77,2
13429174,De Baarsjes - Oud-West,52.373409056170004,4.853262536291279,Private room,55,354,3,92,5.3,59
13431398,De Baarsjes - Oud-West,52.362021323008996,4.851435603554077,Entire home/apt,95,,3,38,1.3,4
13431496,Noord-West,52.41394822036988,4.919322989640879,Entire home/apt,170,325,5,8,0.28,3
13431669,Centrum-West,52.380125541193564,4.882118807,Entire home/apt,150,363,5,1,0.03,0
13438852,De Baarsjes - Oud-West,52.36268517511325,4.874925835019259,Entire home/apt,160,,3,12,0.4,0
13439708,IJburg - Zeeburgereiland,52.35225690083585,4.992771203114073,Entire home/apt,175,350,2,4,0.24,31
13441385,Westerpark,52.381174964697415,4.874680689725179,Entire home/apt,140,364,4,26,0.89,0
13442376,Centrum-West,52.378709442076605,4.889975606420398,Entire home/apt,175,357,2,16,0.55,0
13443986,De Pijp - Rivierenbuurt,52.34913980992643,4.895316675762559,Entire home/apt,139,,2,5,0.17,0
13444361,De Baarsjes - Oud-West,52.364938628597784,4.864113602556516,Entire home/apt,90,,2,11,0.39,0
13444687,De Aker - Nieuw Sloten,52.346441097954816,4.819764243629172,Entire home/apt,88,,2,12,0.41,0
13446149,Centrum-West,52.374639803701974,4.891472641816432,Entire home/apt,165,,3,4,0.14,0
13448057,Osdorp,52.35773157655698,4.813306663,Entire home/apt,80,,2,3,0.1,0
13448241,Centrum-West,52.37077283104697,4.8801667483021145,Private room,69,,3,1,0.03,0
13448441,Westerpark,52.383711071492215,4.871015957869416,Entire home/apt,80,,4,10,0.34,0
13449471,De Pijp - Rivierenbuurt,52.35568323811846,4.887646492272154,Entire home/apt,232,353,3,3,0.17,0
13453680,Centrum-Oost,52.36226164592212,4.899800565386946,Entire home/apt,150,296,2,28,0.93,0
13454533,Bos en Lommer,52.37575336224166,4.861596912704104,Entire home/apt,116,,2,32,1.09,0
13454945,De Baarsjes - Oud-West,52.366619813793704,4.876156494127373,Entire home/apt,120,364,2,11,0.37,0
13455329,Zuid,52.34906105906389,4.848240510548167,Private room,60,,2,0,,0
13455570,Westerpark,52.37480115038485,4.8703127441644805,Entire home/apt,154,,2,43,1.47,0
13455937,Centrum-West,52.37523750263829,4.892478708911415,Entire home/apt,150,30,2,18,0.62,364
